date,time,domain,creature,session,reflections,instinct_versions,path
2026-05-06,10:10:07,creatures,cores3,20260506_101007,11,7,creatures/cores3/logs/20260506_101007
2026-05-06,10:31:53,creatures,cores3,20260506_103153,57,11,creatures/cores3/logs/20260506_103153
2026-05-06,11:03:11,creatures,cores3,20260506_110311,0,1,creatures/cores3/logs/20260506_110311
2026-05-06,11:04:46,creatures,cores3,20260506_110446,10,8,creatures/cores3/logs/20260506_110446
2026-05-06,14:19:44,creatures,keep_changing,20260506_141944,0,1,creatures/keep_changing/logs/20260506_141944
2026-05-06,14:19:44,creatures,sticks3,20260506_141944,0,1,creatures/sticks3/logs/20260506_141944
2026-05-06,14:48:24,creatures,keep_changing,20260506_144824,28,3,creatures/keep_changing/logs/20260506_144824
2026-05-06,14:48:24,creatures,sticks3,20260506_144824,28,3,creatures/sticks3/logs/20260506_144824
2026-05-06,14:53:31,creatures,keep_changing,20260506_145331,6,4,creatures/keep_changing/logs/20260506_145331
2026-05-06,14:53:31,creatures,sticks3,20260506_145331,6,4,creatures/sticks3/logs/20260506_145331
2026-05-06,14:55:41,creatures,keep_changing,20260506_145541,2,2,creatures/keep_changing/logs/20260506_145541
2026-05-06,14:55:41,creatures,sticks3,20260506_145541,2,2,creatures/sticks3/logs/20260506_145541
2026-05-06,14:57:56,creatures,keep_changing,20260506_145756,4,5,creatures/keep_changing/logs/20260506_145756
2026-05-06,14:57:56,creatures,sticks3,20260506_145756,4,5,creatures/sticks3/logs/20260506_145756
2026-05-06,15:11:30,creatures,keep_changing,20260506_151130,0,1,creatures/keep_changing/logs/20260506_151130
2026-05-06,15:11:30,creatures,sticks3,20260506_151130,0,1,creatures/sticks3/logs/20260506_151130
2026-05-06,15:12:52,creatures,keep_changing,20260506_151252,5,4,creatures/keep_changing/logs/20260506_151252
2026-05-06,15:12:52,creatures,sticks3,20260506_151252,5,4,creatures/sticks3/logs/20260506_151252
2026-05-06,15:50:51,creatures,keep_changing,20260506_155051,4,3,creatures/keep_changing/logs/20260506_155051
2026-05-06,16:29:44,creatures,keep_changing,20260506_162944,11,8,creatures/keep_changing/logs/20260506_162944
2026-05-06,16:58:44,creatures,keep_changing,20260506_165844,2,3,creatures/keep_changing/logs/20260506_165844
2026-05-06,17:05:52,creatures,keep_changing,20260506_170552,5,6,creatures/keep_changing/logs/20260506_170552
2026-05-06,17:15:18,creatures,keep_changing,20260506_171518,9,6,creatures/keep_changing/logs/20260506_171518
2026-05-06,17:29:22,creatures,keep_changing,20260506_172922,0,1,creatures/keep_changing/logs/20260506_172922
2026-05-06,17:29:36,creatures,keep_changing,20260506_172936,2,3,creatures/keep_changing/logs/20260506_172936
2026-05-06,17:30:47,creatures,keep_changing,20260506_173047,0,1,creatures/keep_changing/logs/20260506_173047
2026-05-07,09:57:41,creatures,keep_changing,20260507_095741,1,2,creatures/keep_changing/logs/20260507_095741
2026-05-07,10:01:56,creatures,keep_changing,20260507_100156,0,1,creatures/keep_changing/logs/20260507_100156
2026-05-07,10:02:15,creatures,keep_changing,20260507_100215,8,6,creatures/keep_changing/logs/20260507_100215
2026-05-07,10:06:18,creatures,keep_changing,20260507_100618,13,4,creatures/keep_changing/logs/20260507_100618
2026-05-07,10:14:29,creatures,keep_changing,20260507_101429,5,6,creatures/keep_changing/logs/20260507_101429
2026-05-07,10:35:14,creatures,keep_changing,20260507_103514,0,1,creatures/keep_changing/logs/20260507_103514
2026-05-07,10:45:17,creatures,keep_changing,20260507_104517,34,10,creatures/keep_changing/logs/20260507_104517
2026-05-07,11:44:04,creatures,keep_changing,20260507_114404,40,9,creatures/keep_changing/logs/20260507_114404
2026-05-07,13:23:01,creatures,keep_changing,20260507_132301,6,7,creatures/keep_changing/logs/20260507_132301
2026-05-07,13:41:59,creatures,keep_changing,20260507_134159,3,3,creatures/keep_changing/logs/20260507_134159
2026-05-07,14:33:16,creatures,keep_changing,20260507_143316,0,1,creatures/keep_changing/logs/20260507_143316
2026-05-07,14:37:46,creatures,keep_changing,20260507_143746,0,1,creatures/keep_changing/logs/20260507_143746
2026-05-21,15:22:06,creatures,cores3,20260521_152206,7,4,creatures/cores3/logs/20260521_152206
2026-05-22,10:00:44,creatures,cores3,20260522_100044,0,1,creatures/cores3/logs/20260522_100044
2026-05-22,10:13:30,creatures,cores3,20260522_101330,0,1,creatures/cores3/logs/20260522_101330
2026-05-22,10:13:49,creatures,cores3,20260522_101349,0,1,creatures/cores3/logs/20260522_101349
2026-05-22,10:16:11,creatures,cores3,20260522_101611,0,1,creatures/cores3/logs/20260522_101611
2026-05-22,10:17:57,creatures,cores3,20260522_101757,1,2,creatures/cores3/logs/20260522_101757
2026-05-22,10:19:24,creatures,cores3,20260522_101924,0,1,creatures/cores3/logs/20260522_101924
2026-05-22,10:29:11,creatures,cores3,20260522_102911,0,1,creatures/cores3/logs/20260522_102911
2026-05-22,10:32:45,creatures,sticks3,20260522_103245,0,1,creatures/sticks3/logs/20260522_103245
2026-05-22,10:33:31,creatures,sticks3,20260522_103331,1,2,creatures/sticks3/logs/20260522_103331
2026-05-22,10:34:22,creatures,sticks3,20260522_103422,13,6,creatures/sticks3/logs/20260522_103422
2026-05-22,10:40:26,creatures,sticks3,20260522_104026,1,2,creatures/sticks3/logs/20260522_104026
2026-05-22,10:42:43,creatures,sticks3,20260522_104243,0,1,creatures/sticks3/logs/20260522_104243
2026-05-22,10:42:57,creatures,sticks3,20260522_104257,1,2,creatures/sticks3/logs/20260522_104257
2026-05-22,10:45:24,creatures,sticks3,20260522_104524,1,2,creatures/sticks3/logs/20260522_104524
2026-05-22,10:46:03,creatures,sticks3,20260522_104603,0,1,creatures/sticks3/logs/20260522_104603
2026-05-22,10:46:54,creatures,sticks3,20260522_104654,0,1,creatures/sticks3/logs/20260522_104654
2026-05-22,12:47:25,creatures,sticks3,20260522_124725,14,7,creatures/sticks3/logs/20260522_124725
2026-05-22,12:48:40,creatures,sticks3,20260522_124840,2,3,creatures/sticks3/logs/20260522_124840
2026-05-22,12:57:04,creatures,cores3,20260522_125704,0,1,creatures/cores3/logs/20260522_125704
2026-05-22,12:57:44,creatures,cores3,20260522_125744,3,4,creatures/cores3/logs/20260522_125744
2026-05-22,13:03:35,creatures,cores3,20260522_130335,10,5,creatures/cores3/logs/20260522_130335
2026-05-22,13:16:16,creatures,cores3,20260522_131616,3,2,creatures/cores3/logs/20260522_131616
2026-05-22,13:29:01,creatures,cores3,20260522_132901,0,1,creatures/cores3/logs/20260522_132901
2026-05-22,13:29:24,creatures,cores3,20260522_132924,0,1,creatures/cores3/logs/20260522_132924
2026-05-22,13:29:55,creatures,cores3,20260522_132955,0,1,creatures/cores3/logs/20260522_132955
2026-05-22,13:30:38,creatures,keep_changing_core,20260522_133038,3,4,creatures/keep_changing_core/logs/20260522_133038
2026-05-22,13:43:19,creatures,keep_changing_core,20260522_134319,7,6,creatures/keep_changing_core/logs/20260522_134319
