arm,session,version,kind,added,refined_or_note,perception_stack
bare,223521,1,seed,energy(|a|-1),seed: energy->pitch,energy
bare,223521,2,—,,no instinct change,energy
bare,223521,3,PIVOT,gyro-mag; 2nd voice,energy->pad swell,energy;gyro
bare,223521,4,MUSIC,,marimba+strings+impact drums; WIN 200->100,energy;gyro
bare,223521,5,PIVOT,orientation: 3-axis gravity->key (ax/ay dir -> E/C/D),gravity map,energy;gyro;orientation
bare,223521,6,MUSIC,flute voice,,energy;gyro;orientation
bare,223521,7,PIVOT,signed-axis: gy->pan (64+gy/15),panning,energy;gyro;orientation;signed
bare,223521,8,REFINE,,reverb CCs; smoother key transitions,energy;gyro;orientation;signed
bare,223521,9,REFINE,,key-change stability dwell,energy;gyro;orientation;signed
bare,223521,10,REFINE,,micro-groove step engine,energy;gyro;orientation;signed
bare,223521,11,REFINE,,flute continuous/legato,energy;gyro;orientation;signed
bare,223521,12,REFINE,,gy->tremolo; double-stops,energy;gyro;orientation;signed
bare,223521,13,PIVOT,gravity-filter: EMA low-pass (confound fix),diagnosed centrifugal contamination,energy;gravity-filter;gyro;orientation;signed
bare,223521,14,MUSIC,,clock-based groove,energy;gravity-filter;gyro;orientation;signed
bare,223521,15,MUSIC,,acoustic bass,energy;gravity-filter;gyro;orientation;signed
bare,223521,16,FIX,,auto-release notes,energy;gravity-filter;gyro;orientation;signed
bare,223521,17,FIX,,CC caching (thin MIDI),energy;gravity-filter;gyro;orientation;signed
bare,225722,1,seed,energy,seed,energy
bare,225722,2,—,,no change,energy
bare,225722,3,PIVOT,gyro-mag; |ay| tilt-mag,2nd voice pad,energy;gyro
bare,225722,4,REFINE,windowed avg energy,octave pad; impact drums,energy;gyro;windowed
bare,225722,5,PIVOT,orientation: ay->major/minor; signed pan ay & gx,mode + pan,energy;gyro;orientation;signed;windowed
bare,225722,6,PIVOT,signed dir: step=1 if gx>0,melodic direction from gx sign,energy;gyro;orientation;signed;windowed
bare,225722,7,MUSIC,,ostinato voice,energy;gyro;orientation;signed;windowed
bare,225722,8,MUSIC,,shaker,energy;gyro;orientation;signed;windowed
bare,225722,9,PIVOT,az tilt; pan gx->ax,z-axis tilt; gyro_offset,az;energy;gyro;orientation;signed;windowed
bare,225722,10,MUSIC,,brightness; flourish,az;energy;gyro;orientation;signed;windowed
bare,225722,11,FIX,,removed speaker beep (broke illusion),az;energy;gyro;orientation;signed;windowed
bare,225722,12,MUSIC,,conga swap,az;energy;gyro;orientation;signed;windowed
bare,225722,13,PIVOT,"atan2(ax,az) circular wrist angle",circular scale index,atan2;az;energy;gyro;orientation;signed;windowed
bare,225722,14,MUSIC,,strum queue,atan2;az;energy;gyro;orientation;signed;windowed
bare,225722,15,REFINE,,stillness decay; smooth index,atan2;az;energy;gyro;orientation;signed;windowed
bare,225722,16,REFINE,,(hold),atan2;az;energy;gyro;orientation;signed;windowed
bare,225722,17,MUSIC,,snare rim on jerk,atan2;az;energy;gyro;orientation;signed;windowed
bare,230309,1,seed,energy,seed,energy
bare,230309,2,—,,no change,energy
bare,230309,3,PIVOT,gyro-mag; smoothed energy (mean recent10),"energy->pad, gyro->melody",energy;gyro
bare,230309,4,REFINE,sqrt(smooth_e) map,impact drums,energy;gyro
bare,230309,5,PIVOT,signed dir: if gx>0,melodic direction,energy;gyro;signed
bare,230309,6,PIVOT,signed-axis: ay->pan (tilt_pan); counter-pan,stereo tilt,energy;gyro;signed
bare,230309,7,MUSIC,,hi-hat pulse from gyro,energy;gyro;signed
bare,230309,8,REFINE,,adaptive intervals from gyro,energy;gyro;signed
bare,230309,9,REFINE,,interval tuning,energy;gyro;signed
bare,230309,10,MUSIC,,,energy;gyro;signed
bare,230309,11,PIVOT,orientation: az vertical register (az>0.5/<-0.5 octave),vertical pitch,az;energy;gyro;orientation;signed
bare,230309,12,PIVOT,motion accumulation (integrate e+g over time),harmonic transitions over time,accumulation;az;energy;gyro;orientation;signed
bare,230309,13,REFINE,,thresholds,accumulation;az;energy;gyro;orientation;signed
bare,230309,14,REFINE,,pulse tuning,accumulation;az;energy;gyro;orientation;signed
bare,230309,15,REFINE(confound),,noticed centrifugal pan-stick; widened ay range,accumulation;az;energy;gyro;orientation;signed
bare,230309,16,MUSIC,,brightness; vibrato,accumulation;az;energy;gyro;orientation;signed
bare,230309,17,PIVOT,signed combine: ay*40 + gy/25 (swirl),confound swirl blend,accumulation;az;energy;gyro;orientation;signed
bare,230309,18,REFINE,,gyro threshold,accumulation;az;energy;gyro;orientation;signed
menu,224536,1,seed,energy,seed,energy
menu,224536,2,—,,,energy
menu,224536,3,PIVOT,gyro-mag; signed ay tilt-offset,2nd voice,energy;gyro;signed
menu,224536,4,REFINE,tilt_norm (ay normalized),,energy;gyro;signed
menu,224536,5,REFINE,,drum thresholds from gyro,energy;gyro;signed
menu,224536,6,PIVOT,signed-axis: ax->pan ((ax+1.2)*53),stereo,energy;gyro;signed
menu,224536,7,PIVOT,twist=sqrt(gy^2+gz^2); |ay|->reverb,guitar from twist,energy;gyro;signed;twist
menu,224536,8,FIX,,typo fix,energy;gyro;signed;twist
menu,224536,9,REFINE,,tilt_norm,energy;gyro;signed;twist
menu,224536,10,PIVOT,peak-track: recent_peak_energy decay; suspension,stillness-after-peak,energy;gyro;peak;signed;twist
menu,224536,11,MUSIC,,drums,energy;gyro;peak;signed;twist
menu,224536,12,REFINE,,peak decay tune,energy;gyro;peak;signed;twist
menu,224536,13,REFINE,,thresholds,energy;gyro;peak;signed;twist
menu,224536,14,REFINE,,thresholds,energy;gyro;peak;signed;twist
menu,224536,15,REFINE,,,energy;gyro;peak;signed;twist
menu,224536,16,PIVOT,APEX/reversal: prev_twist>120 & twist<prev; gyro apex,fire at gesture turn,apex;energy;gyro;peak;signed;twist
menu,224536,17,REFINE,,stillness ticks,apex;energy;gyro;peak;signed;twist
menu,224536,18,PIVOT,signed ay: octave_shift ay<-0.6; energy tension,posture,apex;energy;gyro;peak;signed;twist
menu,224536,19,REFINE,ay>0.5 bass posture,hanging-note fix,apex;energy;gyro;peak;signed;twist
menu,230735,1,seed,energy,seed,energy
menu,230735,2,—,,,energy
menu,230735,3,PIVOT,gyro; onset (energy<prev = decel strike); signed ax tilt,strike on deceleration,energy;gyro;onset;signed
menu,230735,4,PIVOT,orientation: ay-tilt->chord (<-0.3/>0.3); ax->pan,tilt chords,energy;gyro;onset;orientation;signed
menu,230735,5,REFINE,,pan/dur tuning,energy;gyro;onset;orientation;signed
